$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44211.92,-1.95,-3.42,0.3,0.46,0.42,543.75
44211.96,-3.47,-4.13,0.76,0.86,6.04,543.82
44212,-3.36,-4.15,0.88,0.96,7.3,544.07
44212.04,-3.26,-3.66,0.94,0.86,7.96,544.14
44212.08,-2.71,-3.42,0.89,0.72,9.2,544.14
44212.12,-2.58,-3.33,0.95,0.79,9.41,544.01
44212.17,-2.82,-3.57,0.66,0.88,9.8,544.22
44212.21,-2.73,-3.74,0.61,0.98,10,543.84
44212.25,-3.66,-4.59,1.13,0.82,9.84,544
44212.29,-3.69,-4.88,0.97,1.01,9.81,544.09
44212.33,-3.35,-4.78,0.94,1.02,9.76,544.33
44212.38,-3.96,-5.49,1.04,0.86,9.96,544.72
44212.42,-3.72,-5.16,1.02,0.76,9.86,545.09
44212.46,-4.59,-5.59,1.22,0.56,9.76,545.3
44212.5,-4.85,-5.36,1.39,0.53,9.86,545.11
44212.54,-3.65,-4.45,1.47,0.56,9.83,544.68
44212.58,-3.72,-4.61,1.54,0.42,9.65,544.06
44212.62,-3.7,-4.67,1.58,0.36,9.93,543.72
44212.67,-4.29,-5.17,1.67,0.37,9.87,544.03
44212.71,-4.4,-5.35,1.67,0.39,9.65,544.54
44212.75,-5,-5.98,1.63,0.52,9.9,545.94
44212.79,-4.69,-5.83,1.78,0.46,9.91,546.05
44212.83,-4.67,-6.23,2.04,0.52,9.89,546.77
44212.88,-4.53,-6.3,2.03,0.58,10,547.6
44212.92,-4.6,-6.58,1.96,0.59,10,548.29
44212.96,-6.53,-8.03,2.21,0.63,10,548.98
44213,-6.54,-8.21,2.29,0.66,10,549.68
44213.04,-7.11,-8.58,2.2,0.68,10,550.42
44213.08,-7.46,-8.91,2.17,0.74,10,550.75
44213.12,-7.8,-9.45,2.07,0.81,10,551.09
44213.17,-8.89,-10.52,1.93,0.89,10,551.13
44213.21,-9.08,-10.66,1.84,0.98,10,551.17
44213.25,-10.11,-11.38,1.54,1.08,9.8,550.87
44213.29,-10.34,-11.74,1.47,1.14,9.96,550.94
44213.33,-10.48,-12.05,0.86,1.45,9.84,550.91
44213.38,-10.41,-12.47,0.67,1.65,9.97,551.38
44213.42,-9.75,-12.4,0.65,1.7,9.95,551.23
44213.46,-9.73,-12.18,0.59,1.81,9.53,551.33
44213.5,-9.74,-11.55,0.63,1.98,8.27,551.19
44213.54,-7.98,-10.59,0.46,2.32,9.32,550.24
44213.58,-7.56,-9.93,0.45,0.06,7.31,549.61
44213.62,-7.1,-9.59,0.53,0.35,7.34,548.96
44213.67,-6.34,-9.2,0.49,0.44,7.38,548.74
44213.71,-6.08,-8.33,0.46,0.34,7.3,548.77
44213.75,-7.42,-10.11,0.87,0.63,8.17,548.99
44213.79,-7.41,-9.48,0.92,0.47,8.72,549.03
44213.83,-7.53,-9.6,0.92,0.42,9.8,549.3
44213.88,-8.21,-10.12,0.68,0.13,9.63,549.32
44213.92,-9.08,-10.54,0.73,0.32,9.29,549.46
44213.96,-10.62,-11.28,0.79,0.36,8.21,549.49
44214,-10.81,-11.48,0.8,0.36,7.35,549.45
44214.04,-11.46,-12.12,0.84,0.26,3.83,549.28
44214.08,-11.47,-12.29,0.89,0.2,1.49,549.11
44214.12,-11.62,-12.59,0.91,0.14,0.64,548.8
44214.17,-12.24,-13.21,0.96,0.1,0.61,548.64
44214.21,-12.08,-13.47,0.91,0.14,0.43,548.35
44214.25,-12.6,-13.89,0.79,0.18,1.77,548.15
44214.29,-12.02,-13.91,1.01,0.01,2.01,548.07
44214.33,-11.36,-13.94,1.06,0.07,2.15,548.27
44214.38,-11.92,-14.56,1.01,0.14,2.4,548.54
44214.42,-7.9,-12.03,0.84,0.32,2.61,548.61
44214.46,-7.19,-11.43,0.96,0.61,1.52,548.61
44214.5,-5.54,-10.42,1.42,0.51,0,548.17
44214.54,0.07,-7.86,1.38,0.61,0,547.28
44214.58,0.11,-7.89,1.48,0.77,0,546.3
44214.62,0.1,-7.66,1.57,0.84,0,545.73
44214.67,0.98,-7.54,1.3,0.89,0,545.17
44214.71,0.56,-7.7,1.59,0.86,0,544.98
44214.75,-2.61,-9.4,1.76,0.61,0,544.91
44214.79,-1.22,-9.36,1.77,0.7,0,544.88
44214.83,-2.12,-9.57,1.74,0.67,0,544.7
44214.88,-3.22,-9.87,1.75,0.69,0,544.44
44214.92,-4.2,-9.99,1.88,0.71,0,544.31
44214.96,-7.11,-10.69,1.94,0.64,0,544.36
44215,-7.49,-10.82,2.01,0.6,0,544.17
44215.04,-8.07,-10.59,2.03,0.59,0,543.67
44215.08,-8.04,-10.34,2.05,0.58,0,543.12
44215.12,-8.34,-10.28,2.04,0.54,0,542.72
44215.17,-8.42,-10.06,1.97,0.57,0,542.43
44215.21,-8.35,-9.64,1.93,0.62,0,541.86
44215.25,-7.65,-8.72,2.12,0.49,3.44,541.75
44215.29,-7.56,-8.33,2.06,0.54,4.1,541.54
44215.33,-7.62,-8.26,2.04,0.55,7.41,541.98
44215.38,-8.97,-9.41,1.86,0.57,8.29,542.12
44215.42,-4.29,-5.97,1.89,0.49,9.27,542.42
44215.46,-3.14,-4.2,1.92,0.5,7.68,542.43
44215.5,-2.11,-2.82,1.9,0.53,1.97,542.18
44215.54,2.4,-1.33,1.96,0.62,2.02,541.68
44215.58,2.24,-1.44,2.1,0.69,3.2,540.94
44215.62,2.21,-1.9,2.13,0.78,6.66,540.46
44215.67,2.67,-1.78,1.76,0.84,8.36,540.42
44215.71,3.17,-1.78,1.15,0.98,8.77,540.48
