JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40584.629,    66.201,    23.548,     4.607,     0.229,  6300.237,     0.000,     0.000,    18.542,  1865.885,     1.000,     4.607,   -41.428,     0.000,   273.972,   327.950,    17.246,   -29.795,     0.000,
 40584.670,    70.657,    23.548,     4.621,     0.227,  6306.518,   910.882,     0.000,    18.542,  1865.885,     1.000,     4.621,   816.608,   859.323,   275.081,   328.018,    20.340,   -30.562,     0.000,
 40584.712,    61.628,    23.549,     4.636,     0.214,  6222.509,   129.589,     0.000,    18.543,  1865.885,     1.000,     4.636,    67.254,   122.254,   268.360,   328.090,    20.718,   -25.448,     0.000,
 40584.754,    64.464,    23.545,     4.652,     0.232,  6238.564,     0.000,     0.000,    18.539,  1865.885,     1.000,     4.652,   -66.856,     0.000,   260.119,   328.165,    19.284,   -20.474,     0.000,
 40584.795,    66.024,    23.539,     4.667,     0.239,  6307.796,   798.244,     0.000,    18.533,  1865.885,     1.000,     4.667,   659.855,   753.061,   242.487,   328.234,    12.205,    -4.746,     0.000,
 40584.837,    62.683,    23.536,     4.681,     0.242,  6346.677,   129.589,     0.000,    18.530,  1865.885,     1.000,     4.681,    15.621,   122.254,   238.780,   328.299,    14.229,     2.884,     0.000,
 40584.879,    65.975,    23.533,     4.695,     0.214,  6302.313,     0.000,     0.000,    18.527,  1865.885,     1.000,     4.695,  -119.488,     0.000,   233.439,   328.370,    15.595,     8.962,     0.000,
 40584.920,    67.931,    23.530,     4.713,     0.232,  6342.694,   708.129,     0.000,    18.524,  1865.885,     1.000,     4.713,   544.694,   668.046,   231.851,   328.450,    15.849,    10.904,     0.000,
 40584.962,    63.050,    23.521,     4.731,     0.218,  6353.472,   129.589,     0.000,    18.515,  1865.885,     1.000,     4.731,   -27.552,   122.254,   225.681,   328.537,    24.047,    22.903,     0.000,
 40585.004,    65.971,    23.519,     4.750,     0.237,  6361.668,     0.000,     0.000,    18.513,  1865.885,     1.000,     4.750,  -143.060,     0.000,   225.876,   328.627,    20.446,    19.863,     0.000,
