$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:20.      

JDAY,T(C)
  40577.7916,  -99.00
  40577.8336,  -99.00
  40577.8750,  -99.00
  40577.9168,  -99.00
  40577.9586,  -99.00
  40578.0000,  -99.00
  40578.0419,  -99.00
  40578.0835,  -99.00
  40578.1250,  -99.00
  40578.1673,  -99.00
  40578.2086,  -99.00
  40578.2500,  -99.00
  40578.2921,  -99.00
  40578.3335,  -99.00
  40578.3750,  -99.00
  40578.4172,  -99.00
  40578.4586,  -99.00
  40578.5000,  -99.00
  40578.5421,  -99.00
  40578.5835,  -99.00
  40578.6250,  -99.00
  40578.6668,  -99.00
  40578.7085,  -99.00
  40578.7500,  -99.00
  40578.7921,  -99.00
  40578.8335,  -99.00
  40578.8750,  -99.00
  40578.9172,  -99.00
  40578.9585,  -99.00
  40579.0000,  -99.00
  40579.0420,  -99.00
  40579.0835,  -99.00
  40579.1250,  -99.00
  40579.1674,  -99.00
  40579.2085,  -99.00
  40579.2500,  -99.00
  40579.2920,  -99.00
  40579.3336,  -99.00
  40579.3750,  -99.00
  40579.4172,  -99.00
  40579.4586,  -99.00
  40579.5000,  -99.00
  40579.5418,  -99.00
  40579.5836,  -99.00
  40579.6250,  -99.00
  40579.6672,  -99.00
  40579.7088,  -99.00
  40579.7500,  -99.00
  40579.7924,  -99.00
  40579.8337,  -99.00
  40579.8750,  -99.00
  40579.9171,  -99.00
  40579.9587,  -99.00
  40580.0000,  -99.00
  40580.0422,  -99.00
  40580.0838,  -99.00
  40580.1250,  -99.00
  40580.1668,  -99.00
  40580.2088,  -99.00
  40580.2500,  -99.00
  40580.2921,  -99.00
  40580.3339,  -99.00
  40580.3750,  -99.00
  40580.4173,  -99.00
  40580.4589,  -99.00
  40580.5000,  -99.00
  40580.5418,  -99.00
  40580.5841,  -99.00
  40580.6250,  -99.00
  40580.6672,  -99.00
  40580.7089,  -99.00
  40580.7500,  -99.00
  40580.7917,  -99.00
  40580.8343,  -99.00
  40580.8750,  -99.00
  40580.9174,  -99.00
  40580.9593,  -99.00
  40581.0000,  -99.00
  40581.0425,  -99.00
  40581.0840,  -99.00
  40581.1250,  -99.00
  40581.1672,  -99.00
  40581.2090,  -99.00
  40581.2500,  -99.00
  40581.2917,  -99.00
  40581.3337,  -99.00
  40581.3750,  -99.00
  40581.4173,  -99.00
  40581.4593,  -99.00
  40581.5000,  -99.00
  40581.5427,  -99.00
  40581.5844,  -99.00
  40581.6250,  -99.00
  40581.6676,  -99.00
  40581.7091,  -99.00
  40581.7500,  -99.00
  40581.7919,  -99.00
  40581.8345,  -99.00
  40581.8750,  -99.00
  40581.9173,  -99.00
  40581.9583,  -99.00
  40582.0000,  -99.00
  40582.0427,  -99.00
  40582.0834,  -99.00
  40582.1250,  -99.00
  40582.1672,  -99.00
  40582.2083,  -99.00
  40582.2500,  -99.00
  40582.2927,  -99.00
  40582.3342,  -99.00
  40582.3750,  -99.00
  40582.4174,  -99.00
  40582.4593,  -99.00
  40582.5000,  -99.00
  40582.5425,  -99.00
  40582.5841,  -99.00
  40582.6250,  -99.00
  40582.6674,  -99.00
  40582.7090,  -99.00
  40582.7500,  -99.00
  40582.7920,  -99.00
  40582.8339,  -99.00
  40582.8750,  -99.00
  40582.9173,  -99.00
  40582.9589,  -99.00
  40583.0000,  -99.00
  40583.0423,  -99.00
  40583.0839,  -99.00
  40583.1250,  -99.00
  40583.1670,  -99.00
  40583.2088,  -99.00
  40583.2500,  -99.00
  40583.2918,  -99.00
  40583.3339,  -99.00
  40583.3750,  -99.00
  40583.4167,  -99.00
  40583.4588,  -99.00
  40583.5000,  -99.00
  40583.5419,  -99.00
  40583.5838,  -99.00
  40583.6250,  -99.00
  40583.6667,  -99.00
  40583.7088,  -99.00
  40583.7500,  -99.00
  40583.7917,  -99.00
  40583.8342,  -99.00
  40583.8750,  -99.00
  40583.9176,  -99.00
  40583.9592,  -99.00
  40584.0000,  -99.00
  40584.0425,  -99.00
  40584.0842,  -99.00
  40584.1250,  -99.00
  40584.1671,  -99.00
  40584.2085,  -99.00
  40584.2500,  -99.00
  40584.2920,  -99.00
  40584.3335,  -99.00
  40584.3750,  -99.00
  40584.4167,  -99.00
  40584.4585,  -99.00
  40584.5000,  -99.00
  40584.5418,  -99.00
  40584.5835,  -99.00
  40584.6250,  -99.00
  40584.6671,  -99.00
  40584.7085,  -99.00
  40584.7500,  -99.00
  40584.7923,  -99.00
  40584.8335,  -99.00
  40584.8750,  -99.00
  40584.9169,  -99.00
  40584.9585,  -99.00
  40585.0000,  -99.00
  40585.0422,  -99.00
  40585.0835,  -99.00
  40585.1250,  -99.00
  40585.1669,  -99.00
  40585.2085,  -99.00
  40585.2500,  -99.00
  40585.2923,  -99.00
  40585.3335,  -99.00
  40585.3749,  -99.00
  40585.4169,  -99.00
  40585.4585,  -99.00
  40585.5000,  -99.00
  40585.5422,  -99.00
  40585.5834,  -99.00
  40585.6250,  -99.00
  40585.6670,  -99.00
  40585.7085,  -99.00
  40585.7500,  -99.00
  40585.7917,  -99.00
  40585.8335,  -99.00
  40585.8750,  -99.00
  40585.9172,  -99.00
  40585.9584,  -99.00
  40586.0000,  -99.00
  40586.0419,  -99.00
  40586.0835,  -99.00
  40586.1250,  -99.00
  40586.1673,  -99.00
  40586.2084,  -99.00
  40586.2500,  -99.00
  40586.2922,  -99.00
  40586.3334,  -99.00
  40586.3750,  -99.00
  40586.4167,  -99.00
  40586.4585,  -99.00
  40586.5000,  -99.00
  40586.5417,  -99.00
  40586.5835,  -99.00
  40586.6249,  -99.00
  40586.6671,  -99.00
  40586.7085,  -99.00
  40586.7500,  -99.00
  40586.7922,  -99.00
  40586.8335,  -99.00
