$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44213.71,-1.75,-6.09,0.39,1.5,6.56,588.5
44213.75,-3.04,-7.18,0.3,3.01,6.98,588.76
44213.79,-2.57,-6.65,0.7,0.05,9.19,588.64
44213.83,-2.66,-6.7,1.17,3.12,9.88,588.86
44213.88,-3.06,-6.96,1.33,2.82,9.32,588.77
44213.92,-3.73,-7.21,1.47,2.88,9.38,588.91
44213.96,-5.16,-7.81,1.62,2.9,9.18,588.92
44214,-5.88,-8.42,1.74,2.97,8.94,588.82
44214.04,-6.48,-8.99,1.84,2.98,6.75,588.54
44214.08,-6.89,-9.62,1.96,2.94,4.48,588.24
44214.12,-7.13,-10.09,1.99,2.9,0.89,587.85
44214.17,-7.97,-10.83,2,2.87,0.44,587.63
44214.21,-7.95,-11.16,1.96,2.87,0.21,587.35
44214.25,-8.21,-11.12,2.02,2.9,0.19,587.29
44214.29,-8.16,-11.52,1.96,2.86,0.01,587.06
44214.33,-8.15,-11.95,2.06,2.88,0.18,587.21
44214.38,-9.22,-12.53,2,2.91,0,587.48
44214.42,-2.67,-7.68,1.44,3.04,0.06,587.52
44214.46,-1.64,-6.25,1.22,3,0,587.45
44214.5,0.37,-5.68,1.19,0.14,0,586.9
44214.54,4.54,-3.71,1.09,0.52,0,585.93
44214.58,4.52,-3.45,1.04,0.93,0,584.85
44214.62,4.43,-3.27,1.14,1.05,0,584.19
44214.67,5.71,-3.74,0.78,1.17,0,583.54
44214.71,6.85,-5.61,0.73,0.98,0,583.33
44214.75,3.7,-5.56,1.27,3.08,0,583.18
44214.79,4.09,-5.9,1.2,3.1,0,583.24
44214.83,3,-5.89,1.41,3.07,0,583.07
44214.88,2.05,-5.95,1.48,2.96,0,582.78
44214.92,0.49,-6.2,1.68,2.98,0,582.7
44214.96,-3.47,-7.38,1.9,2.93,0,582.71
44215,-4.33,-8.09,2.03,2.96,0,582.51
