group,year,neff,input_samples,representable_samples,representable_percent,stage_bias_m,stage_mae_m,stage_rmse_m,stage_correlation,stage_within_0p5m_percent,stage_within_1p0m_percent,samples,bias_m3s,mae_m3s,rmse_m3s,median_ratio,within_20pct_percent
stage_moving_or_mixed,2023,0.0725,3167,1981,62.551310388380166,-0.21832822681968006,1.3328209606560537,1.6861284390049427,0.9586066543758998,31.48089674771077,45.94253236501421,3167,-659.7504626196162,703.4482903309951,788.499510549976,0.7209681470386017,35.080517840227344
stage_moving_or_mixed,2023,0.075,3167,1914,60.435743605936224,-0.11904369059053004,1.413326658870854,1.7342252462683814,0.95662078419472,22.576570887275025,43.037574992106094,3167,-750.1524984774194,779.297904918734,848.2822984071187,0.6955159572766213,30.596779286390905
stage_moving_or_mixed,2024,0.07,3376,3374,99.94075829383885,1.0922828999152092,1.2099276050142267,1.464536748355055,0.9929746261879041,26.895734597156395,45.023696682464454,3376,-720.5846220586684,812.6264614160257,902.2142123525934,0.6460596608132119,35.81161137440758
stage_moving_or_mixed,2024,0.0725,3376,3372,99.88151658767772,1.2326721316352944,1.2862635754659901,1.5518185039827324,0.9942204899725398,27.488151658767773,43.453791469194314,3376,-814.8832302057476,855.2199496842013,943.6862643539315,0.6218147826297509,33.32345971563981
stage_moving_or_mixed,2024,0.075,3376,3368,99.76303317535546,1.3688280292401553,1.3824581211045852,1.645309378431558,0.9950977228175324,25.0,37.52962085308057,3376,-902.431496086787,912.1226717970296,994.1114577466482,0.5993885515569282,29.324644549763036
stage_moving_or_mixed,2025,0.07,3017,3017,100.0,0.8112861817376535,0.9105753048725787,1.1361909821910507,0.9903334904785144,38.05104408352668,62.67815710971163,3017,-678.8716245137881,747.2267427437631,832.8792093198008,0.7146221485390027,39.97348359297315
stage_moving_or_mixed,2025,0.0725,3017,3017,100.0,0.9425498447507195,0.9804041620468571,1.213366343830041,0.9917895919745962,33.60954590652966,58.833278090818695,3017,-777.0628930688196,801.7012925269385,888.5821212598485,0.6879048411502794,36.49320517069937
stage_moving_or_mixed,2025,0.075,3017,3017,100.0,1.0790756203626626,1.0851482383818387,1.3089103058884384,0.9929496819493071,26.35067948293006,54.95525356314219,3017,-868.2290481764268,871.9899704988301,950.3186034760917,0.6632246032745026,27.17931720251906
observed_flow_only,2020,0.07,83,83,100.0,0.03194231548039866,0.33480366826616714,0.5365827947694991,0.9767591844294062,90.36144578313254,91.56626506024097,83,-138.61314175753247,660.0417849533637,950.565115465232,0.7017923744900137,1.2048192771084338
observed_flow_only,2020,0.0725,83,83,100.0,0.060678808056510554,0.35945026848526823,0.5421131892929351,0.9761622480789556,90.36144578313254,91.56626506024097,83,-186.20689374897682,678.5158771088609,925.3777562600775,0.6762211562189206,0.0
