group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
rising_flow,2023,24,1524,8.117312798491266,-25.565699529946723,60.101957666016816,-834.5729931474106,849.2680377268772,959.3671591044236,0.7606656136343961,43.24146981627297
rising_flow,2024,24,1875,-0.9138230637388511,-36.59469327978776,30.251312310255102,-609.4828956344417,646.6474896419362,785.7598669696007,0.8526090657371234,62.45333333333334
rising_flow,2025,24,1291,6.885318026639159,-23.311036732631425,42.51710445634909,-608.1449732208949,653.6594684733236,757.6963778831329,0.8446680064296989,64.67854376452362
stable,2020,24,129,-7.569152623259428,-25.0408991729515,7.801888079638456,-287.94239155202655,634.0858373950709,847.0162500334878,0.6664358163336034,1.550387596899225
stable,2021,24,3554,-0.6592502913751674,-27.71189102986736,30.633998342076104,-695.3168106169195,889.9728230680413,1100.955435204261,0.5721212778726197,26.730444569499156
stable,2022,24,3094,-1.7475755792640633,-33.6239469013792,24.704954816151428,-746.3039129940653,779.2242393801416,970.1121642533758,0.6581057098756198,35.229476405947
stable,2023,24,2200,-2.4328631734320707,-30.70340783734009,17.996126026135062,-690.4972681481606,710.0179789720768,755.5278352756262,0.7149199763785017,33.409090909090914
stable,2024,24,1630,1.721566522116083,-26.911093112370672,25.026391404090486,-767.6246050565383,776.1590084526076,856.2831717815747,0.7073661767436019,25.70552147239264
stable,2025,24,2647,-6.689113284260793,-31.189566641590282,29.645596536509146,-826.8211841555625,829.714506391803,881.3723101531483,0.6822900576798485,29.99622213826974
stage_moving_or_mixed,2020,24,25,-12.45303697449069,-24.099067603199156,63.250126683840044,374.9047104900188,1061.2964306454417,1435.7489831230027,0.7178696434389744,0.0
stage_moving_or_mixed,2021,24,3078,0.01934234552068153,-53.48484700763767,69.57428467533995,-588.4820869726304,800.503807177966,1036.4979647173766,0.7181935330186422,39.928525016244315
stage_moving_or_mixed,2022,24,2737,-5.33720446552012,-58.90921447938066,54.7097507023411,-692.3583960899267,785.9889453972738,1004.2260893052726,0.6732971749926152,42.67446108878334
