JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40562.919,    81.096,    23.607,     3.799,     0.329,  7408.706,     0.000,     0.000,    19.601,  2898.534,     1.000,     3.795,   -60.479,     0.000,   277.247,   324.106,    12.329,     1.290,     0.000,
 40562.960,    82.016,    23.600,     3.814,     0.332,  7498.595,     0.000,     0.000,    19.594,  2898.534,     1.000,     3.813,   -63.542,     0.000,   275.675,   324.181,    12.212,     2.824,     0.000,
 40563.002,    90.009,    23.589,     3.848,     0.339,  7572.563,     0.000,     0.000,    19.583,  2898.534,     1.000,     3.846,   -65.102,     0.000,   274.803,   324.344,    11.953,     3.609,     0.000,
 40563.044,    59.608,    23.589,     3.890,     0.446,  8224.727,     0.000,     0.000,    19.583,  2898.534,     1.000,     3.885,   -66.700,     0.000,   273.899,   324.510,    11.441,     4.649,     0.000,
 40563.085,    53.979,    23.586,     3.935,     0.458,  8093.992,     0.000,     0.000,    19.580,  2898.534,     1.000,     3.924,   -70.052,     0.000,   272.990,   324.671,    12.674,     5.697,     0.000,
 40563.127,    55.215,    23.575,     3.964,     0.433,  7834.061,     0.000,     0.000,    19.569,  2898.534,     1.000,     3.954,   -71.907,     0.000,   272.401,   324.777,    13.148,     6.383,     0.000,
 40563.169,    54.655,    23.571,     3.983,     0.434,  7646.374,     0.000,     0.000,    19.565,  2898.534,     1.000,     3.977,   -73.592,     0.000,   271.816,   324.930,    13.366,     7.112,     0.000,
 40563.210,    55.614,    23.564,     3.996,     0.429,  7647.985,     0.000,     0.000,    19.558,  2898.534,     1.000,     3.996,   -74.400,     0.000,   271.206,   325.078,    12.663,     7.865,     0.000,
 40563.252,    56.300,    23.553,     4.009,     0.426,  7660.476,     0.000,     0.000,    19.547,  2898.534,     1.000,     4.009,   -76.959,     0.000,   270.370,   325.135,    13.423,     8.770,     0.000,
 40563.294,    53.635,    23.547,     4.010,     0.416,  7450.851,     0.000,     0.000,    19.541,  2898.534,     1.000,     4.010,   -78.058,     0.000,   270.411,   325.142,    13.808,     9.519,     0.000,
 40563.335,    55.787,    23.539,     4.001,     0.419,  7499.359,     0.000,     0.000,    19.533,  2898.534,     1.000,     4.001,   -85.586,     0.000,   267.578,   325.101,    16.976,    11.087,     0.000,
 40563.377,    55.195,    23.534,     3.987,     0.425,  7487.449,     0.000,     0.000,    19.528,  2898.534,     1.000,     3.987,  -108.967,     0.000,   238.678,   325.038,    13.737,     8.870,     0.000,
 40563.419,    55.182,    23.522,     3.981,     0.422,  7508.255,     0.000,     0.000,    19.516,  2898.534,     1.000,     3.971,  -105.046,     0.000,   235.924,   324.861,    13.214,     2.895,     0.000,
 40563.460,    57.017,    23.519,     3.971,     0.418,  7433.697,     0.000,     0.000,    19.513,  2898.534,     1.000,     3.958,   -69.310,     0.000,   259.861,   324.805,     9.322,    -4.956,     0.000,
