$,
XXH,
JDAY,DGP
44233.92,1.2
44233.96,1.2
44234,1.2
44234.04,1.2
44234.08,1.2
44234.12,1.2
44234.17,1.2
44234.21,1.2
44234.25,1.2
44234.29,1.2
44234.33,1.2
44234.38,1.2
44234.42,1.2
44234.46,1.2
44234.5,1.2
44234.54,1.2
44234.58,1.2
44234.62,1.2
44234.67,1.2
44234.71,1.2
44234.75,1.2
44234.79,1.2
44234.83,1.2
44234.88,1.2
44234.92,1.2
44234.96,1.2
44235,1.2
44235.04,1.2
44235.08,1.2
44235.12,1.2
44235.17,1.2
44235.21,1.2
44235.25,1.2
44235.29,1.2
44235.33,1.2
44235.38,1.2
44235.42,1.2
44235.46,1.2
44235.5,1.2
44235.54,1.2
44235.58,1.2
44235.62,1.2
44235.67,1.2
44235.71,1.2
44235.75,1.2
44235.79,1.2
44235.83,1.2
44235.88,1.2
44235.92,1.2
44235.96,1.2
44236,1.2
44236.04,1.2
44236.08,1.2
44236.12,1.2
44236.17,1.2
44236.21,1.2
44236.25,1.2
44236.29,1.2
44236.33,1.2
44236.38,1.2
44236.42,1.2
44236.46,1.2
44236.5,1.2
44236.54,1.2
44236.58,1.2
44236.62,1.2
44236.67,1.2
44236.71,1.2
44236.75,1.2
44236.79,1.2
44236.83,1.2
44236.88,1.2
44236.92,1.2
44236.96,1.2
44237,1.2
44237.04,1.2
44237.08,1.2
44237.12,1.2
44237.17,1.2
44237.21,1.2
44237.25,1.2
44237.29,1.2
44237.33,1.2
44237.38,1.2
44237.42,1.2
44237.46,1.2
44237.5,1.2
44237.54,1.2
44237.58,1.2
44237.62,1.2
44237.67,1.2
44237.71,1.2
44237.75,1.2
44237.79,1.2
44237.83,1.2
44237.88,1.2
44237.92,1.2
44237.96,1.2
44238,1.2
44238.04,1.2
44238.08,1.2
44238.12,1.2
44238.17,1.2
44238.21,1.2
44238.25,1.2
44238.29,1.2
44238.33,1.2
44238.38,1.2
44238.42,1.2
44238.46,1.2
44238.5,1.2
44238.54,1.2
44238.58,1.2
44238.62,1.2
44238.67,1.2
44238.71,1.2
44238.75,1.2
44238.79,1.2
44238.83,1.2
44238.88,1.2
44238.92,1.2
44238.96,1.2
44239,1.2
44239.04,1.2
44239.08,1.2
44239.12,1.2
44239.17,1.2
44239.21,1.2
44239.25,1.2
44239.29,1.2
44239.33,1.2
44239.38,1.2
44239.42,1.2
44239.46,1.2
44239.5,1.2
44239.54,1.2
44239.58,1.2
44239.62,1.2
44239.67,1.2
44239.71,1.2
44239.75,1.2
44239.79,1.2
44239.83,1.2
44239.88,1.2
44239.92,1.2
44239.96,1.2
44240,1.2
44240.04,1.2
44240.08,1.2
44240.12,1.2
44240.17,1.2
44240.21,1.2
44240.25,1.2
44240.29,1.2
44240.33,1.2
44240.38,1.2
44240.42,1.2
44240.46,1.2
44240.5,1.2
44240.54,1.2
44240.58,1.2
44240.62,1.2
44240.67,1.2
44240.71,1.2
44240.75,1.2
44240.79,1.2
44240.83,1.2
44240.88,1.2
44240.92,1.2
44240.96,1.2
44241,1.2
44241.04,1.2
44241.08,1.2
44241.12,1.2
44241.17,1.2
44241.21,1.2
44241.25,1.2
44241.29,1.2
44241.33,1.2
44241.38,1.2
44241.42,1.2
44241.46,1.2
44241.5,1.2
44241.54,1.2
44241.58,1.2
44241.62,1.2
44241.67,1.2
44241.71,1.2
44241.75,1.2
44241.79,1.2
44241.83,1.2
44241.88,1.2
44241.92,1.2
44241.96,1.2
44242,1.2
44242.04,1.2
44242.08,1.2
44242.12,1.2
44242.17,1.2
44242.21,1.2
44242.25,1.2
44242.29,1.2
44242.33,1.2
44242.38,1.2
44242.42,1.2
44242.46,1.2
44242.5,1.2
44242.54,1.2
44242.58,1.2
44242.62,1.2
44242.67,1.2
44242.71,1.2
44242.75,1.2
44242.79,1.2
44242.83,1.2
44242.88,1.2
44242.92,1.2
44242.96,1.2
44243,1.2
44243.04,1.2
44243.08,1.2
44243.12,1.2
44243.17,1.2
44243.21,1.2
44243.25,1.2
44243.29,1.2
44243.33,1.2
44243.38,1.2
44243.42,1.2
44243.46,1.2
44243.5,1.2
44243.54,1.2
44243.58,1.2
44243.62,1.2
44243.67,1.2
44243.71,1.2
44243.75,1.2
44243.79,1.2
44243.83,1.2
44243.88,1.2
44243.92,1.2
44243.96,1.2
44244,1.2
44244.04,1.2
44244.08,1.2
44244.12,1.2
44244.17,1.2
44244.21,1.2
44244.25,1.2
44244.29,1.2
44244.33,1.2
44244.38,1.2
44244.42,1.2
44244.46,1.2
44244.5,1.2
44244.54,1.2
44244.58,1.2
44244.62,1.2
44244.67,1.2
44244.71,1.2
44244.75,1.2
44244.79,1.2
44244.83,1.2
44244.88,1.2
44244.92,1.2
44244.96,1.2
44245,1.2
44245.04,1.2
44245.08,1.2
44245.12,1.2
44245.17,1.2
44245.21,1.2
44245.25,1.2
44245.29,1.2
44245.33,1.2
44245.38,1.2
44245.42,1.2
44245.46,1.2
44245.5,1.2
44245.54,1.2
44245.58,1.2
44245.62,1.2
44245.67,1.2
44245.71,1.2
44245.75,1.2
44245.79,1.2
44245.83,1.2
44245.88,1.2
44245.92,1.2
44245.96,1.2
44246,1.2
44246.04,1.2
44246.08,1.2
44246.12,1.2
44246.17,1.2
44246.21,1.2
44246.25,1.2
44246.29,1.2
44246.33,1.2
44246.38,1.2
44246.42,1.2
44246.46,1.2
44246.5,1.2
44246.54,1.2
44246.58,1.2
44246.62,1.2
44246.67,1.2
44246.71,1.2
44246.75,1.2
44246.79,1.2
44246.83,1.2
44246.88,1.2
44246.92,1.2
44246.96,1.2
44247,1.2
44247.04,1.2
44247.08,1.2
44247.12,1.2
44247.17,1.2
44247.21,1.2
44247.25,1.2
44247.29,1.2
44247.33,1.2
44247.38,1.2
44247.42,1.2
44247.46,1.2
44247.5,1.2
44247.54,1.2
44247.58,1.2
44247.62,1.2
44247.67,1.2
44247.71,1.2
44247.75,1.2
44247.79,1.2
44247.83,1.2
44247.88,1.2
44247.92,1.2
44247.96,1.2
44248,1.2
44248.04,1.2
44248.08,1.2
44248.12,1.2
44248.17,1.2
44248.21,1.2
44248.25,1.2
44248.29,1.2
44248.33,1.2
44248.38,1.2
44248.42,1.2
44248.46,1.2
44248.5,1.2
44248.54,1.2
44248.58,1.2
44248.62,1.2
44248.67,1.2
44248.71,1.2
44248.75,1.2
44248.79,1.2
44248.83,1.2
44248.88,1.2
44248.92,1.2
44248.96,1.2
44249,1.2
44249.04,1.2
44249.08,1.2
44249.12,1.2
44249.17,1.2
44249.21,1.2
44249.25,1.2
44249.29,1.2
44249.33,1.2
44249.38,1.2
44249.42,1.2
44249.46,1.2
44249.5,1.2
44249.54,1.2
44249.58,1.2
44249.62,1.2
44249.67,1.2
44249.71,1.2
44249.75,1.2
44249.79,1.2
44249.83,1.2
44249.88,1.2
44249.92,1.2
44249.96,1.2
44250,1.2
44250.04,1.2
44250.08,1.2
44250.12,1.2
44250.17,1.2
44250.21,1.2
44250.25,1.2
44250.29,1.2
44250.33,1.2
44250.38,1.2
44250.42,1.2
44250.46,1.2
44250.5,1.2
44250.54,1.2
44250.58,1.2
44250.62,1.2
44250.67,1.2
44250.71,1.2
44250.75,1.2
44250.79,1.2
44250.83,1.2
44250.88,1.2
44250.92,1.2
44250.96,1.2
44251,1.2
44251.04,1.2
44251.08,1.2
44251.12,1.2
44251.17,1.2
44251.21,1.2
44251.25,1.2
44251.29,1.2
44251.33,1.2
44251.38,1.2
44251.42,1.2
44251.46,1.2
44251.5,1.2
44251.54,1.2
44251.58,1.2
44251.62,1.2
44251.67,1.2
44251.71,1.2
44251.75,1.2
44251.79,1.2
44251.83,1.2
44251.88,1.2
44251.92,1.2
44251.96,1.2
44252,1.2
44252.04,1.2
44252.08,1.2
44252.12,1.2
44252.17,1.2
44252.21,1.2
44252.25,1.2
44252.29,1.2
44252.33,1.2
44252.38,1.2
44252.42,1.2
44252.46,1.2
44252.5,1.2
44252.54,1.2
44252.58,1.2
44252.62,1.2
44252.67,1.2
44252.71,1.2
44252.75,1.2
44252.79,1.2
44252.83,1.2
44252.88,1.2
44252.92,1.2
44252.96,1.2
44253,1.2
44253.04,1.2
44253.08,1.2
